English,Hindi,len_eng_words,len_hin_words
<start> can you imagine saying that ? <end>,<start> कया आप य कलपना कर सकत ह <end>,5,7
<start> . sarojini naidu with mahatma gandhi <end>,<start> महातमा गाधी क साथ सरोजिनी नायड <end>,5,6
<start> parliaments control on financial health . <end>,<start> वितत वयवसथा पर ससद का नियतरण <end>,5,6
<start> to create a dry mist <end>,<start> सख धध को बनान क लिए <end>,5,6
<start> than are put into malaria . <end>,<start> मलरिया क मकाबल। <end>,5,3
<start> the blue and the dim <end>,<start> नील और मद <end>,5,3
"<start> where , the time , the website . <end>","<start> कहा  ,  कब ,  वबसाइट। <end>",5,4
<start> people get new clothes stitched . <end>,<start> लोग नएनए वसतर सिलवात ह। <end>,5,5
<start> in missionary position lover yugal <end>,<start>   <end>,5,4
<start> to fly like a bird . <end>,<start> एक पछी की तरह उडान भरना . <end>,5,6
<start> delayed or missed departures <end>,<start>  <end>,5,1
<start> they ran out of space . <end>,<start> सथान कम रह गया था। <end>,5,5
<start> in cities around the world . <end>,<start> कला क नमनो को बनान म | <end>,5,7
"<start> now up until that moment , <end>",<start> अब तक उस पल तक <end>,5,5
<start> that we developed called impass . <end>,"<start> जिस हमन बनाया ह ,  जिसका नाम  ह | <end>",5,9
"<start> in , her life changed . <end>",<start>  म उसका जीवन बदल गया। <end>,5,6
"<start> for the world in general , <end>",<start> सार विशव को ल कर <end>,5,5
<start> he took care of him . <end>,<start> उसी न उसका पालनपोषण किया। <end>,5,5
<start> sree ramchrita manas lenka kaant <end>,<start> शरी रामचरित मानसलका काणड <end>,5,4
<start> but we should also remember <end>,<start> पर हम यह भी याद रखना चाहिए कि <end>,5,8
"<start> once that trust was built , <end>","<start> एक बार जब वो विशवास बन गया , <end>",5,7
<start> you may have noticed it <end>,<start> आपन इनह दखा होगा <end>,5,4
<start> the values that you espouse . <end>,<start> जिनका पालन दसर लोग करत ह । <end>,5,7
<start> that fundamentally expanded my perception <end>,<start> जिसन बनियादी तौर पर मरी समझ को बढा दिया <end>,5,9
<start> his property was confiscated . <end>,<start> उनकी सपतति भी जबत कर ली गयी  . <end>,5,8
"<start> and took my bike helmet , <end>","<start> मन अपना बाइक हलमट लिया , <end>",5,5
<start> so what we re seeing here <end>,<start> तो जो हम यहा दख रह ह <end>,5,7
<start> i don t think in language . <end>,<start> म भाषा म नही सोचती <end>,5,5
"<start> as a psychologist , i worry <end>","<start> एक मनोवजञानी क तौर पर ,  म चितित <end>",5,7
<start> she wears it every day . <end>,<start> वह इस हमशा अपन साठ रखती ह <end>,5,7
<start> then we can save lives . <end>,<start> तो हम कई जीवन बचा सकत ह . <end>,5,7
"<start> in war torn places like monrovia , <end>","<start> मोनरोविया जस यदधगरसत इलाको म , <end>",5,5
<start> he also wrote akbar nama <end>,<start> उसन अकबरनामा की भी रचना की थी। <end>,5,7
<start> category languages of the world <end>,<start> शरणीविशव की भाषाए <end>,5,3
<start> that you can love someone <end>,<start> कि आप किसी स पयार कर सकत ह <end>,5,8
<start> category farrukhabad s hindi poet <end>,<start> शरणीफररखाबाद क हिनदी कवि <end>,5,4
"<start> picking water from the stream , <end>","<start> नदी की धारा स पानी निकलत हए , <end>",5,7
<start> and if we can resist <end>,<start> और अगर हम विरोध कर सकत ह <end>,5,7
<start> india is going to have <end>,<start> भारत क पास होगा <end>,5,4
<start> really simple syndication is abnormal <end>,<start> असाधारण ह रियली सिपल सिडिकशन <end>,5,5
"<start> about my connection with feynman , <end>",<start> मर और फयनमन क रिशतो क बार म <end>,5,8
<start> history a very important task <end>,<start> इतिहास का एक अति महतती कारय था <end>,5,7
<start> the first one was miniaturization . <end>,"<start> पहला था लघकरण ,  चीज को छोटा बनाना। <end>",5,7
<start> who were the original hackers . <end>,<start> जो की वासतविक हकर थ  . <end>,5,6
<start> but rosey grier also had <end>,<start> लकिन रोजी गरीयर का <end>,5,4
<start> vallabhacharya propogated and spread pushtimarg . <end>,<start> वललभाचारय न पषटिमारग का परचारपरसार किया। <end>,5,6
<start> love story of lord krishna . <end>,<start> .  शरीकषणकावय सवततर परमपरधान कावय ह। <end>,5,6
<start> in terms of gender equality . <end>,<start> औरतमरद की बराबरी क लिय। <end>,5,5
<start> in recent metaphors about technology . <end>,<start> परौदयोगिकी क बार म हाल ही म रपको म . <end>,5,9
<start> he was a troubled kid . <end>,<start> वह एक परशान बचचा था | <end>,5,6
<start> but because we re pretty sure <end>,<start> लकिन हम लोग बिलकल य जानत ह <end>,5,7
<start> so i went back there <end>,<start> तो म वापस वहा गया <end>,5,5
<start> thank you very much . bye ! <end>,<start> बहत धनयवाद आप सभी का .  चलता ह . <end>,5,7
"<start> we have students working there , <end>","<start> वहा छातर काम करत रहग , <end>",5,5
<start> uttar pradesh has districts <end>,<start> उततर परदश म  जिल ह  <end>,5,7
<start> almost all of them ! <end>,<start> लगभग सभी  ! <end>,5,3
"<start> most dynamic and young photographers , <end>","<start> सबस हनरशदा और यवा फोटोगराफरो न लिय ह , <end>",5,8
<start> maybe no one s really crazy . <end>,<start> शायद कोई सनकी ह ही नही | <end>,5,7
<start> we ve covered all over india <end>,<start> हमन सार भारत म काम किया ह <end>,5,7
"<start> but , i hear you say , <end>","<start> मगर ,  आप कहग , <end>",5,3
<start> the wired mesh surrounding coffins . <end>,<start> कबरो को घर हए जाली की दीवार <end>,5,7
<start> yet there were doubts . <end>,<start> फिर भी शकाए रह गई  . <end>,5,6
"<start> a couple of years ago , <end>","<start> दो वरष पहल , <end>",5,3
<start> mistakenly believe beyond religion books <end>,<start> धरम की पसतको को गलती स पर मानना <end>,5,8
<start> but vitthal bai patel died . <end>,<start> मगर विठठल भाई पटल का निधन हो गया। <end>,5,8
<start> camera s ready that s it . <end>,<start> कमरा तयार ह  बस हो गया। <end>,5,7
<start> and then we can calculate <end>,<start> और फिर हम गणना कर सकत ह <end>,5,7
"<start> someday , little robots will go <end>","<start> एक दिन ,  छोट रोबोटस हमारी धमनियो <end>",5,6
<start> bhishma and drona are killed . <end>,<start> भीषम और दरोण वध <end>,5,4
<start> the public fund of india . <end>,<start> भारत की लोक निधि <end>,5,4
"<start> and they have big cities , <end>",<start> उनक पास बड सहर ह <end>,5,5
<start> for the star constellation pleiades . <end>,<start> पलीएडस तारामडल। <end>,5,2
"<start> there are fundamental , major breakthroughs , <end>","<start> बनियादी ,  बडी सफलताए , <end>",5,3
<start> and counter to serious learning . <end>,<start> और गभीरशिकषा का दशमन भी। <end>,5,5
<start> at dorset orthopaedic in england <end>,<start> इगलड क डोरसट औरथोपडिक स <end>,5,5
<start> both spandrels of an arch <end>,<start> महराब क दोनो ओर क सपनडरल <end>,5,6
<start> a supermarket or a pushcart . <end>,<start> या सपरमारकट हो या फिर हाथगाढी . <end>,5,6
"<start> and the correlation , of course , <end>","<start> और परसपर समबनध वाकई यह ह , <end>",5,6
<start> to improve schooling in india . <end>,<start> भारत म शिकषा सधारो क लिए आया था . <end>,5,8
<start> unheard facts about bhaghat singh <end>,<start> भगत सिह क बार म कछ अनदख तथय <end>,5,9
<start> and i told you earlier <end>,<start> जसा की मन आपको पहल कहा था <end>,5,7
<start> why do teeth decay ? <end>,<start> दात कयो सडत ह  ? <end>,5,5
<start> continuous watery secretion from vagina <end>,<start> योनि स लगातार पानी का आना <end>,5,6
<start> and it s made for humans . <end>,<start> और यह मनषयो क लिए बनी ह . <end>,5,7
<start> winning stanford million dollars . <end>,<start> और सटानफोरड क लिए    लाख डालर जीत | <end>,5,9
<start> it all begins with curiosity . <end>,<start> कवल जिजञासा स । <end>,5,4
"<start> they take the poorest kids , <end>","<start> व सबस गरीब बचचो को लत ह , <end>",5,7
"<start> intimacy . entry depth , entrance mobility <end>",<start> · अतरगता   ☻☻ ☺ · परवश की गहराई ☻☻☻☻☻ · परवश की गतिशीलता ☻☻☻☻☻ <end>,5,15
<start> i remember my first fire . <end>,<start> मझ अपना पहला अवसर याद ह <end>,5,6
<start> hundreds of portraits were made . <end>,<start> कई सौ तसवीर बनाई गई। <end>,5,5
"<start> like , how lame is that ? <end>",<start> यह कितना असनतोषजनक ह <end>,5,4
<start> varaha puran <end>,<start> वाराह पराण <end>,5,2
<start> in the national statistical agencies <end>,"<start> हमार पास य आकड सयकत राषटो ,  राषटरीय साखयिकी <end>",5,8
"<start> a fairly silly arithmetic game , <end>","<start> एक साधारण सा गणित का खल ह , <end>",5,7
<start> the aggregate numbers are overwhelming . <end>,<start> कल सखया काफी भारी ह <end>,5,5
<start> he continued his studies also <end>,<start> उनका अधययन भी जारी रहा । <end>,5,6
<start> hindi typing tool in firefox <end>,<start> फायरफॉकस म हिनदी टाइपिग क औजार <end>,5,6
<start> what is organ donation ? <end>,<start> अवयव दान कया ह  ? <end>,5,5
<start> that s a guess <end>,<start> ♫ यह एक अनमान ह ♫ <end>,5,6
<start> and that is that people <end>,<start> और य वो विचार ह <end>,5,5
<start> what the quantum wave function <end>,<start> इतन सार एक जस परमाणओ का <end>,5,6
<start> which is longevity escape velocity . <end>,<start> दीरघाय   . <end>,5,3
<start> the ime of hindi writer . <end>,<start> हिनदीराइटर का आईएमई <end>,5,5
"<start> and you know , an epiphany <end>","<start> और आप जानत ह  ,  आतमबोध <end>",5,6
<start> indian cultures roots are vedas <end>,<start> भारतीय ससकति क मल वद ह। <end>,5,6
<start> muslims circling kaba during haj . <end>,<start> हज क दौरान मसलमान काबा का चककर लगात हए <end>,5,9
<start> perhaps most exciting to me <end>,<start> शायद मझ सबस जयादा सफरति दिलानवाला सझाव यह ह <end>,5,9
<start> akra kay or about army <end>,<start> अगरकय या परतिकरियाशील सनय काररवाई <end>,5,5
<start> . . . christopher baily and tim harper . <end>,<start> .  .  . करिसटॉफर बली और टिम हारपर <end>,5,5
<start> so i run right upstairs . <end>,<start> तो म फौरन सीडियो स ऊपर भागा | <end>,5,8
<start> you ll be handed rice cakes . <end>,<start> फिर आपको चावल का कक दिया जायगा . <end>,5,7
<start> and about in winter <end>,<start> और सरदी म तकरीबन <end>,5,5
"<start> is a truly globalized business , <end>","<start> सच म वशवीकत कारोबार ह , <end>",5,5
"<start> ag okay , there s his fifth hypothesis . <end>",<start> एजी पाचवी हाइपोथसिस। <end>,5,3
<start> did i mention they re gorgeous ? <end>,<start> कया मन उललख किया था व बहत खबसरत ह ? <end>,5,9
<start> veiling my daughter from birth <end>,<start> जनम स ही मरी बटी को परद म रखन म <end>,5,10
<start> official website of elected president <end>,<start> चयनित राषटरपति का आधिकारिक जालसथल <end>,5,5
<start> described as the celestial openness <end>,<start> दिवय खलापन  क रप म वरणित करत ह <end>,5,8
<start> and i m one of them . <end>,<start> और म उनम स एक ह . <end>,5,7
<start> and it s technically completely different <end>,<start> और यह तकनीकी रप स उस कलपना स परी तरह स अलग ह <end>,5,13
"<start> and so my request is , <end>","<start> तो मरा अनरोध ह , <end>",5,4
<start> abhishek joined the team <end>,<start> अभिषक समह म शामिल हआ  <end>,5,6
<start> agra is a historic city <end>,<start> आगरा एक ऐतिहासिक नगर ह जिसक परमाण यह अपन चारो ओर समट हए ह। <end>,5,14
<start> states and central ruled states <end>,<start> राजय और कनदरशासित परदश <end>,5,4
<start> from the question of politics . <end>,<start> राजनतिक सवालात स  <end>,5,4
<start> this is their story . <end>,<start> यह उनकी कहानी ह  . <end>,5,5
<start> we haven t understood anything else . <end>,<start> हम कछ समझ म नही आया ह . <end>,5,8
<start> working system of election commission . <end>,<start> निरवाचन आयोग की कारयपरणालीकारय <end>,5,4
"<start> my mom left nairobi , kenya . <end>",<start> मरी मा न कनया म नरोबी छोडा . <end>,5,7
"<start> and as we re coming down , <end>","<start> और जस जस हम नीच आ रह थ , <end>",5,8
"<start> they have to be nutritious , <end>","<start> यह पौषटिक होना चाहिए , <end>",5,4
<start> this is what i saw . <end>,<start> य दख रहा था मई <end>,5,5
<start> khadi ke phool <end>,<start> खादी क फल <end>,5,4
"<start> maybe you think you re jesus , <end>","<start> आप खद को जीजस समझत ह , <end>",5,6
<start> history of modern hindi poem <end>,<start> आधनिक हिदी पदय का इतिहास <end>,5,5
<start> and encouraging others to give . <end>,<start> और दसरो को दन क लिए परोतसाहित करना। <end>,5,8
"<start> of the dravidian language family , <end>","<start> दरविड भाषा परिवार की , <end>",5,4
<start> was surdas blind by birth ? <end>,<start> कया सरदास जनमाध थ  ? <end>,5,5
"<start> when you talk about objects , <end>","<start> जब हम वसतओ की बात करत ह , <end>",5,7
"<start> taking it a step further , <end>","<start> इस एक कदम आग ल कर , <end>",5,6
"<start> exactly what a bee sees , <end>","<start> मधमकखी को कया दीखता ह , <end>",5,5
<start> was where do i begin . <end>,<start> कि म कहा स शर कर . <end>,5,6
<start> resignation as chairman of congress <end>,<start> कागरस क अधयकषपद स इसतीफा <end>,5,5
<start> with new possibilities of life . <end>,<start> बदलाव म वयसत रही ह। <end>,5,5
<start> kanpur dohat district <end>,<start> कानपर दहात जिला <end>,5,5
<start> what forgot and what remember . <end>,<start> कया भल कया याद कर <end>,5,6
"<start> friends , this has never happened , <end>","<start> दोसतो  ,  य कभी नही हआ  , <end>",5,7
<start> were located near ventilation ducts . <end>,<start> वटिलशन नलिकाए क निकट सथित थ <end>,5,6
<start> harivansh ray bachchan <end>,<start>  हरिवश राय बचचन <end>,5,7
"<start> was the depletion of matter , <end>","<start> पदारथ क अवकषय क रप म दखा , <end>",5,7
"<start> is universally condemned , but ethnocide , <end>",<start> इसकी विशव भर म निनदा की जाती ह। <end>,5,8
<start> when woman is on top <end>,<start> जब महिला उपर हो <end>,5,4
<start> webudaipur information about udaipur . <end>,<start> वबउदयपर उदयपर क बार म जानकारी  ! <end>,5,7
