English,Hindi,length_eng_sentence,length_hin_sentence
than are put into malaria,START_ मलेरिया के मुकाबले। _END,5,5
class united states of america,START_ श्रेणीसंयुक्त राज्य अमेरिका _END,5,5
the blue and the dim,START_ नीले और मंद _END,5,5
where the time the website,START_ कहाँ कब वेब्साइट। _END,5,5
category languages of the world,START_ श्रेणीविश्व की भाषाएँ _END,5,5
“but” i hear you say,START_ मगर आप कहेंगे _END,5,5
a couple of years ago,START_ दो वर्ष पहले _END,5,5
there are fundamental major breakthroughs,START_ बुनियादी बडी सफ़लताएं _END,5,5
which is “longevity escape velocity”,START_ “दीर्घायु escape velocity” _END,5,5
ag okaytheres his fifth hypothesis,START_ एजी पाँचवी हाइपोथेसिस। _END,5,5
from the question of politics,START_ राजनैतिक सवालात से _END,5,5
the problem is the reverse,START_ समस्या उल्टी है। _END,5,5
so that the telescopes have,START_ जिससे दुरबीनों को _END,5,5
that implies the trusted person,START_ अर्थात भरोसेमंद व्यक्ति _END,5,5
change of power in delhi,START_ दिल्ली की सत्ताबदल _END,5,5
of a landed property family,START_ खानदानी ज़मीन थी _END,5,5
category prime ministers of india,START_ श्रेणीभारत के प्रधानमंत्री _END,5,5
the attorney general of india,START_ भारत का महान्यायवादी _END,5,5
are in the business of,START_ जरूरी नहीं समझते _END,5,5
in the time that passes,START_ जो समय गुज़रा _END,5,5
a i do nt know,START_ मुज्हो नहीं पता _END,5,5
shree ramcharit manas bal kaand,START_ श्री रामचरित मानसबालकाण्ड _END,5,5
a little bit about myself,START_ मेरे बारे में _END,5,5
chris anderson alain de botton,START_ सीएalain de botton _END,5,5
has got an nobel prize,START_ श्रेणीनोबेल पुरस्कार सम्मानित _END,5,5
had very simply the courage,START_ बस था साहस _END,5,5
what is the majority required,START_ कितना बहुमत चाहिए _END,5,5
pure beings like in angels,START_ जैसे कि देवदूत _END,5,5
to manage her period days,START_ अस्वास्थ्यकर अस्वच्छ तरीक़ा _END,5,5
tel lrb information line rrb,START_ टेलीफ़ोन इन्फ़ार्मेशन लाईन _END,5,5
you need a trained technician,START_ हमें प्रशिक्षित तकनीशियन _END,5,5
ggsswell lrb december january rrb,START_ जीजीस्वैल दिसंबर जनवरी _END,5,5
so as i do this,START_ ये दिखाते हुए _END,5,5
through which we move people,START_ जहाँ लोगों को _END,5,5
and in the fifth act,START_ और पांचवें में _END,5,5
before we started to look,START_ उन्हें देखने का _END,5,5
even if i have indeed,START_ जबकि सच में _END,5,5
ive become rather concerned about,START_ मैं चिंतित हु _END,5,5
the political parties in pakistan,START_ पाकिस्तानी राजनैतिक दल _END,5,5
you have a higher probability,START_ एक संभावित रोगज़नक़ _END,5,5
thank you thank you applause,START_ धन्यवाद धन्यवाद तालियाँ _END,5,5
but most important i believe,START_ लेकिन सबसे महत्वपूर्ण _END,5,5
the foreman at your plant,START_ फैक्ट्री का फोरमैन _END,5,5
farming in undersurface of himalaya,START_ हिमालयके तलेमे खेती _END,5,5
nehru describe about political life,START_ नेहरू राजनैतिक जीवनचित्र _END,5,5
on the day of jail,START_ जेल के दिन _END,5,5
an anonymous faceless nameless person,START_ अन्जान अनाम व्यक्ति _END,5,5
in english on their own,START_ सिखा सकते हैं _END,5,5
is such a valuable thing,START_ इतना बहुमूल्य है _END,5,5
so i have to conclude,START_ इसीलिए अंत में _END,5,5
series honored by nobel prize,START_ श्रेणीनोबेल पुरस्कार सम्मानित _END,5,5
at the university of michigan,START_ मिशिगन विश्वविद्यालय में _END,5,5
well a couple of things,START_ कई चीज़ों से _END,5,5
but what about this day,START_ और यह दिन _END,5,5
